@relation 'Data_Clean_WEKA-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT2 >= 38719) and (ATT2 <= 39447)-weka.filters.unsupervised.attribute.Remove-Rfirst-7,15-21'

@attribute AvgOddsDiff numeric
@attribute P1_Seed {'not seeded',2,8,5,6,7,1,3,4,9,13,11,12,14,10,15,16,29,32,26,21,22,27,18,30,31,17,25,19,23,28,20,24,33}
@attribute P1_Entry {WC,regular,Q,LL,PR,SE,Alt}
@attribute SameHand {TRUE,FALSE}
@attribute HeightDiff numeric
@attribute SameCountry {FALSE,TRUE}
@attribute AgeDiff numeric
@attribute PtsDiffNorm numeric
@attribute P2_Result {W,L}

@data
0.805,5,regular,TRUE,13,FALSE,-3.66872,-0.043045,L
-2.449,8,regular,TRUE,12,FALSE,-2.028747,0.024287,L
-0.1918,2,regular,TRUE,7,FALSE,-1.201916,0.015611,W
0.7716,'not seeded',regular,FALSE,-2,FALSE,1.785079,-0.047628,W
-4.2992,1,regular,TRUE,-10,FALSE,2.989733,0.097364,W
-1.7464,5,regular,TRUE,13,FALSE,0.99384,0.025693,L
-0.244,8,regular,TRUE,7,FALSE,1.429158,-0.08551,L
-0.6382,'not seeded',regular,TRUE,-5,FALSE,0.607803,0.015183,L
0.3418,7,regular,FALSE,17,FALSE,-0.50924,-0.017994,L
1.7988,'not seeded',regular,TRUE,0,FALSE,-3.542779,-0.023493,W
-1.2306,5,regular,FALSE,11,FALSE,-2.685832,0.000947,W
-3.864,27,regular,TRUE,0,FALSE,2.110883,0.015428,W
-1.3268,'not seeded',regular,TRUE,0,FALSE,5.215606,-0.002413,W
-3.7616,10,regular,TRUE,-10,FALSE,0.396988,0.055632,L
-0.1254,11,regular,TRUE,-5,FALSE,-1.089665,0.030397,L
0.6642,'not seeded',Q,TRUE,3,TRUE,0.386037,-0.027037,L
-2.681,'not seeded',regular,FALSE,0,FALSE,9.399042,0.005224,W
-1.5836,13,regular,FALSE,0,FALSE,-1.377139,0.03333,L
-5.1354,16,regular,TRUE,-5,FALSE,-4.019165,0.0483,L
-2.0304,18,regular,TRUE,13,FALSE,-7.540041,0.025876,L
6.2458,'not seeded',regular,TRUE,5,FALSE,-2.811773,-0.054777,W
-6.0798,19,regular,TRUE,13,FALSE,-3.170431,0.032597,L
24.4848,'not seeded',Q,TRUE,-3,FALSE,0.43258,-0.195307,W
5.7024,'not seeded',regular,FALSE,5,FALSE,6.773443,-0.043595,W
-0.2326,'not seeded',regular,TRUE,2,FALSE,1.932923,-0.014267,L
-9.0188,4,regular,TRUE,7,FALSE,-0.391513,0.105429,L
5.9684,'not seeded',regular,TRUE,-8,FALSE,4.334018,-0.028931,W
-1.8936,'not seeded',regular,TRUE,-13,FALSE,-8.388775,0.001619,L
6.9002,'not seeded',regular,TRUE,-16,FALSE,0.848734,-0.030092,W
-0.6958,'not seeded',regular,TRUE,-5,FALSE,1.607118,-0.012801,L
2.3938,'not seeded',regular,TRUE,-18,FALSE,2.379192,-0.029909,W
1.3366,'not seeded',regular,TRUE,7,FALSE,0.520192,-0.021171,W
7.1698,'not seeded',WC,FALSE,8,FALSE,-6.365503,-0.13268,W
-0.2586,'not seeded',regular,TRUE,0,FALSE,5.590691,-0.001986,L
-3.2066,32,regular,TRUE,7,FALSE,-2.581793,0.007668,W
-3.026,'not seeded',regular,TRUE,10,FALSE,-2.329911,-0.013412,L
-31.412,1,regular,TRUE,-3,FALSE,5.081451,0.38203,L
0.06325,'not seeded',Q,FALSE,-15,FALSE,-9.045859,-0.032292,W
-1.7414,'not seeded',regular,TRUE,10,FALSE,0.334018,0.005407,W
-0.8346,'not seeded',WC,TRUE,0,FALSE,4.722793,-0.023432,L
-6.136,12,regular,TRUE,-2,FALSE,2.529774,0.055326,L
-3.2218,15,regular,TRUE,5,FALSE,-4.032854,0.04164,L
0.8078,'not seeded',WC,TRUE,8,FALSE,-0.960986,-0.027709,L
5.4116,'not seeded',Q,TRUE,-5,FALSE,-2.732375,-0.106651,L
-1.0158,21,regular,TRUE,-2,FALSE,1.941136,0.014389,L
3.526,'not seeded',regular,TRUE,-2,FALSE,-2.105407,-0.067058,W
-1.6842,25,regular,TRUE,-21,FALSE,-1.555099,0.034369,L
3.8552,'not seeded',WC,FALSE,22,FALSE,0.670773,-0.062414,W
2.1072,'not seeded',regular,TRUE,2,FALSE,10.579055,-0.037241,W
2.119,'not seeded',regular,TRUE,-8,FALSE,-3.534565,-0.044267,W
1.259,14,regular,TRUE,-3,FALSE,-8.208077,0.025143,W
-0.4244,'not seeded',regular,TRUE,-12,TRUE,4.071184,-0.024715,W
-2.0158,5,regular,TRUE,-30,FALSE,-2.258727,0.091987,L
0.8908,'not seeded',regular,TRUE,0,FALSE,7.70705,-0.01054,L
-7.7534,3,regular,TRUE,-3,FALSE,-1.054073,0.088198,L
-1.6516,'not seeded',regular,TRUE,10,FALSE,-10.795346,-0.020744,W
1.3632,'not seeded',regular,TRUE,-10,FALSE,7.753593,-0.026426,W
-0.887,'not seeded',regular,FALSE,10,FALSE,11.63039,-0.022027,W
3.152,'not seeded',regular,TRUE,-13,FALSE,5.963039,-0.055693,L
1.0318,'not seeded',regular,TRUE,-23,TRUE,3.518138,0.002413,W
1.1604,'not seeded',regular,TRUE,-12,FALSE,4.50924,-0.021905,W
-3.1352,6,regular,TRUE,-23,FALSE,-0.481862,0.063819,L
1.9738,'not seeded',regular,TRUE,8,FALSE,-3.334702,-0.013717,W
0.1978,'not seeded',regular,TRUE,-5,FALSE,0.027379,-0.001436,L
2.9594,'not seeded',Q,TRUE,8,FALSE,3.008898,-0.124003,W
-4.2686,19,regular,TRUE,13,FALSE,-0.722793,0.037302,W
-0.4832,10,regular,TRUE,-5,FALSE,5.322382,0.032658,L
2.4434,'not seeded',regular,TRUE,5,FALSE,4.224504,-0.086243,W
0.7598,'not seeded',Q,TRUE,-3,FALSE,1.453799,-0.025204,L
-6.672,13,regular,FALSE,0,FALSE,-1.141684,0.061253,W
0.1938,16,regular,TRUE,-5,FALSE,0.616016,0.032108,L
-3.2786,18,regular,TRUE,6,FALSE,-4.731006,0.040357,L
-4.7014,26,regular,FALSE,7,FALSE,3.548255,0.032536,L
8.646,'not seeded',regular,TRUE,8,FALSE,3.540041,-0.168423,W
-0.9862,31,regular,TRUE,-5,FALSE,1.631759,0.005346,L
-2.8322,4,regular,TRUE,-3,FALSE,3.23614,0.083127,L
